name,barcode,cost,price,margin,stock,min_stock,is_weighted,weight,category
PILA EVER 3A 4X2UNID,31329,3730,,0,1,5,false,8,serfel
SWAN HIG 20MTS DH 12X4UNID,31332,9830,,0,3,5,false,48,serfel
SWAN TOALLA 12MTS 8X3UNID,31591,6821,,0,1,5,false,24,serfel
HARINA PERLA SACO 25KGS CISNE,31860,17227,,0,1,5,false,25000,serfel
COLIBRI PAPEL HIG.DH 12X42MTS,31335,7750,,0,1,5,false,504,serfel
ARCOS 1X15 KG,31421,12720,,0,1,5,false,15000,serfel
AZUCAR CARROUSEL 10X1KG,31509,7750,,0,2,5,false,10000,serfel
ARROZ EL MONARCA G2 L 10X900GRS,3148,6390,,0,2,5,false,9000,serfel
PILA EVER GDE X12UNID,31231,6655,,0,1,5,false,12,serfel
PILA EVER COMBO 1 TIRA 2A EVD + 1 TIR ENG,31235,3750,,0,1,5,false,2,serfel
CARBON VEGETAL 2.5 KGS EL VALLE,31630,7640,,0,1,5,false,2500,serfel
AZUCAR MONARCA 10X900GRS,31609,6390,,0,2,5,false,9000,serfel
ARROZ BONANZA G2 L 10X1KG,31503,8385,,0,2,5,false,10000,serfel
SCHICK TITANIUM 4 DESCH. 10UNID,31253,9210,,0,1,5,false,10,serfel
POLVO DE HORNEAR GOURMET 20X30GRS,31629,5320,,0,1,5,false,600,serfel
SWAN TOALLA ULTRA DH 70MTS 8X1,31627,8950,,0,1,5,false,8,serfel
SWAN ULTRA DH 12MTS X24X2MTS,31645,12950,,0,1,5,false,48,serfel
ARROZ TUCAPEL G2 G SELECC 10X1,31938,17680,,0,1,5,false,10000,serfel
JABON LUX 1X 90X5GRS,34537,3300,,0,1,5,false,450,serfel
ARROZ CARROUSEL 10X1KG,31509,7640,,0,1,5,false,10000,serfel
SCHICK TITANIUM 4 FOR WOMEN P/S X10UNID,31250,8320,,0,1,5,false,10,serfel
ARCOS 1X15 KG,31421,11600,,0,1,5,false,15000,serfel
SWAN HIG.DH 20MTS 8X6UNID,31625,9210,,0,1,5,false,48,serfel
