name,barcode,cost,price,margin,stock,pack_units,min_stock,is_weighted,weight,category
HUESITOS CHOCOCLUB 70G DISPLAY (12UN),,8824,,0.30,12,12,5,false,70,abarrotes
CONEJO RABBIT 45G DISPLAY (18UN),,11345,,0.30,18,18,5,false,45,abarrotes
CONEJO MARSHMIP 45G DISPLAY (12UN),,7521,,0.30,12,12,5,false,45,abarrotes
WILD PROTEIN CHOCOLATE MANI CAJA (16UN),,12571,,0.30,16,16,5,false,,abarrotes
POPPING BOBA FRAMBUESA 350ML PACK (6UN),,4622,,0.30,6,6,5,false,350,abarrotes
POPPING BOBA FRUTILLA 350ML PACK (6UN),,4622,,0.30,6,6,5,false,350,abarrotes
RING POPLIGHT 8G DISPLAY (16UN),,6101,,0.30,16,16,5,false,8,abarrotes
BOLSA BASURA MEDIANA 70X90 10UN,,8571,,0.30,12,1,5,false,,hogar
BOLSA BASURA GRANDE 80X110 10UN,,13311,,0.30,12,1,5,false,,hogar
PAPEL ALUMINIO 5M,,7563,,0.30,12,1,5,false,,hogar
DUBAI NOUGAT CARAMEL 50G DISPLAY (24UN),,7731,,0.30,24,24,5,false,50,abarrotes
ESCOBILLON HOGAR MANGO MADERA,,8269,,0.30,6,1,5,false,,hogar
PAÑO ALGODON NARANJA SACUDIR 30X40CM,,2723,,0.30,6,1,5,false,,hogar
TRAPERO MICROFIBRA MULTIUSO ULTRACLEAN 30X40CM,,4840,,0.30,12,1,5,false,,hogar
TRAPERO MICROFIBRA MULTIUSO CON OJAL 45X65CM,,8773,,0.30,12,1,5,false,,hogar
TE EMBLEM CEYLAN PM 100 BOLS,,2239,,0.30,3,1,5,false,,abarrotes
TE EMBLEM CEYLAN IMP 20 BOLS,,702,,0.30,6,1,5,false,,abarrotes
DURAZNO CUBITO ESMERALDA 425G,,1094,,0.30,6,1,5,false,425,abarrotes
DURAZNO MITADES ESMERALDA 425G,,1094,,0.30,6,1,5,false,425,abarrotes
SUCEDANEO JUGO LIMON 500ML,,590,,0.30,6,1,5,false,500,abarrotes
JUGO DE LIMON DON JUAN 250CC,,427,,0.30,6,1,5,false,250,abarrotes
CABALLA NATURAL 425G,,876,,0.30,3,1,5,false,425,abarrotes
CHUCRUT DON JUAN 180G,,697,,0.30,8,1,5,false,180,abarrotes
ACEITUNA HUASCO DON JUAN 200G,,1480,,0.30,8,1,5,false,200,abarrotes
VINAGRE BLANCO DON JUAN 500ML,,647,,0.30,4,1,5,false,500,abarrotes
VINAGRE MANZANA DON JUAN 500ML,,1219,,0.30,4,1,5,false,500,abarrotes
