name,barcode,cost,price,margin,stock,min_stock,is_weighted,weight,category
CAR. MENTA CHOCOL.12X1X530GR.LEY,5121030,2811.09,,0,1,5,false,530,arcor_dos_en_uno
BUTTER TOFFEE CHOCOLAT 12X350G,5141279,1966.37,,0,1,5,false,350,arcor_dos_en_uno
AGRUPADO ALKA CHERRY 24X12X348,5138069,4189.00,,0,1,5,false,348,arcor_dos_en_uno
MINI CHUBI 40X35G,5168866,227.55,,0,8,5,false,35,arcor_dos_en_uno
PROMO TURRON DEU (7% DSCTO),0755017821025,7875.24,,0,1,5,false,0,arcor_dos_en_uno
MINI SAPITO 40X35G,5168048,202.17,,0,6,5,false,35,arcor_dos_en_uno
DOYPACK ROCKLETS CHOCO 24X95G,5142840,918.00,,0,2,5,false,95,arcor_dos_en_uno
DOYPACK ROCKLETS MANI 24X95,5142841,918.00,,0,2,5,false,95,arcor_dos_en_uno
ALKA CRISTAL.12X1X450GRS.LEY,5140989,2263.04,,0,1,5,false,450,arcor_dos_en_uno
BUTTER TOFFEE CHOCOLAT 12X350G,5141279,1966.37,,0,1,5,false,350,arcor_dos_en_uno
SELZ MINI CLASICA BS.1X40X35G.LEY,5168470,237.80,,0,6,5,false,35,arcor_dos_en_uno
SELZ MINI JAMON BS1X40X35.LEY,5168472,237.80,,0,6,5,false,35,arcor_dos_en_uno
GALL RIGO CHOC TRAD 1X36X113G.LEY,5164092,1080.07,,0,5,5,false,113,arcor_dos_en_uno
GALL BOB S CHOCO BANDEJA 36X95G,5164095,1272.62,,0,5,5,false,95,arcor_dos_en_uno
BON O BON LECHE NVO 12X30X15G,5151288,6215.86,,0,1,5,false,15,arcor_dos_en_uno
PROMO TURRON DEU (7% DSCTO),0755017821025,7875.24,,0,1,5,false,0,arcor_dos_en_uno
BOLSA TURRON GALLETA X 25 UNIDADES,0077015101032,5783.00,,0,1,5,false,0,arcor_dos_en_uno
ALKA CRISTAL.12X1X450GRS.LEY,5140989,2263.04,,0,1,5,false,450,arcor_dos_en_uno
G. CRACKER TRADICIONAL. RRP 30X90G,5168891,507.94,,0,6,5,false,90,arcor_dos_en_uno
G. CRACKER CHICA TRADICIONAL 36X50G,5168892,227.25,,0,6,5,false,50,arcor_dos_en_uno
MINI CHUBI 40X35G,5168866,227.55,,0,6,5,false,35,arcor_dos_en_uno
MINI FIESTA CHOC KISS 1x40x35 grs,5168889,202.00,,0,6,5,false,35,arcor_dos_en_uno
ALFAJOR BON O BON LECHE MALLA X10 unds,007035104303,4090.00,,0,1,5,false,0,arcor_dos_en_uno
GALL ROLLO CONQUISTA 36X139G,5143124,487.14,,0,6,5,false,139,arcor_dos_en_uno
PROMO BIG TIME MENTA (8%),P04202501,5665.36,,0,1,5,false,0,arcor_dos_en_uno
PROMO BIG TIME STRONG (8%),P04202502,5665.36,,0,1,5,false,0,arcor_dos_en_uno
MASTIC FRUTAS (bl grande) 10BX800G,5114076,4004.14,,0,1,5,false,800,arcor_dos_en_uno
AGRUPADO ALKA MIEL 24X12X348,5138068,4189.00,,0,1,5,false,348,arcor_dos_en_uno
AGRUPADO ALKA STRONG 24X12X348,5131081,4189.26,,0,1,5,false,348,arcor_dos_en_uno
ALKA MENTOL 20X1X400GR.LEY,5131018,2154.01,,0,1,5,false,400,arcor_dos_en_uno
MINI CHUBI 40X35G,5168866,227.55,,0,6,5,false,35,arcor_dos_en_uno
PROMO CHUBI DP AUTO1 2X24X20GRS 8%,0855055142668,4573.32,,0,1,5,false,20,arcor_dos_en_uno
TABLETA TIFANY'S 15X110G,7859020,670.51,,0,4,5,false,110,arcor_dos_en_uno
TABLETA RIGOCHOC 15X103G,5159071,998.75,,0,3,5,false,103,arcor_dos_en_uno
ALKA MENTOL 20X1X400GR.LEY,5131018,2154.01,,0,1,5,false,400,arcor_dos_en_uno
GALL ROLLO CONQUISTA 36X139G,5143124,487.14,,0,4,5,false,139,arcor_dos_en_uno
GALL ROLLO ROCK CHOCOLATE 24X165G,5168885,1134.43,,0,1,5,false,165,arcor_dos_en_uno
GALL ROLLO ROCK VAINILLA 24X165G,5168886,1134.43,,0,1,5,false,165,arcor_dos_en_uno
AGRUPADO ALKA CHERRY 24X12X348,5138069,4189.00,,0,1,5,false,348,arcor_dos_en_uno
TABLETA RIGOCHOC 15X103G,5159071,998.75,,0,3,5,false,103,arcor_dos_en_uno
TABLETA TIFANY'S 15X110G,7859020,670.51,,0,4,5,false,110,arcor_dos_en_uno
GALL BON O BON BANDEJA 36X95G,5164087,1272.62,,0,4,5,false,95,arcor_dos_en_uno
PROMO BIGTIME SANDIA (8%),P04202504,5665.36,,0,1,5,false,0,arcor_dos_en_uno
BUTTER TOFFEE CHOCOLAT 12X350G,5141279,1966.37,,0,1,5,false,350,arcor_dos_en_uno
ALKA CRISTAL.12X1X450GRS.LEY,5140989,2263.04,,0,1,5,false,450,arcor_dos_en_uno
ALKA MENTOL 20X1X400GR.LEY,5131018,2154.01,,0,1,5,false,400,arcor_dos_en_uno
PACK MOGUL X 6 (piec/tfbu/oslt/osita acid/coco/conli) 15%,455010000002,11424.00,,0,1,5,false,0,arcor_dos_en_uno
BUTTER TOFFEE CHOCOLAT 12X350G,5141279,1966.37,,0,1,5,false,350,arcor_dos_en_uno
GALL ROLLO CONQUISTA 36X139G,5143124,487.14,,0,4,5,false,139,arcor_dos_en_uno
TIFANYS 12X20X20G,7843031,4142.19,,0,3,5,false,20,arcor_dos_en_uno
GOLF 4X36X27G,5107116,6849.36,,0,1,5,false,27,arcor_dos_en_uno
G. CRACKER TRADICIONAL. RRP 30X90G,5168891,507.94,,0,4,5,false,90,arcor_dos_en_uno
ROCKLETS CHOCOLATE 12X18X30G,5142836,5821.00,,0,1,5,false,30,arcor_dos_en_uno
CAR. MENTA CHOCOL.12X1X530GR.LEY,5121030,2811.09,,0,1,5,false,530,arcor_dos_en_uno
BUTTER AND CREAM 6X1X810GRS,5141500,4378.47,,0,1,5,false,810,arcor_dos_en_uno
BUTTER TOFFEE CHOCOLAT 12X350G,5141279,1966.37,,0,1,5,false,350,arcor_dos_en_uno
GALL ROLLO CONQUISTA 36X139G,5143124,487.14,,0,3,5,false,139,arcor_dos_en_uno
MINI CHUBI 40X35G,5168866,227.55,,0,6,5,false,35,arcor_dos_en_uno
MINI CHOCKISS 1X40X35GR. LEY,5168858,202.17,,0,3,5,false,35,arcor_dos_en_uno
MINI DINOSARIO 1X40X35G LEY,5164050,202.17,,0,4,5,false,35,arcor_dos_en_uno
DOYPACK ROCKLETS CHOCO 24X95G,5142840,918.00,,0,2,5,false,95,arcor_dos_en_uno
