name,barcode,cost,price,margin,stock,min_stock,is_weighted,weight,category
PEPSOD PROT ACAR MPK 3X130G,4206551,2401.00,,0,1,5,false,390,cencocal
CIF CR/BIO MULLORIG BOT 1X750ML,1560162,1281.00,,0,2,5,false,750,cencocal
QUIX LV VAJ LIMON 1X200ML,1560108,351.00,,0,4,5,false,200,cencocal
SOFT LWB 1X1000CC,4109058,1258.00,,0,2,5,false,1000,cencocal
OMO LIQ PARA DILUIR 1X500ML,1860062,2594.00,,0,2,5,false,500,cencocal
OMO LIQ ULTRA POWER DP 1X400ML,1860074,539.00,,0,3,5,false,400,cencocal
MAY HELLMANS REGULAR DP 1X630G,1203244,1264.00,,0,4,5,false,630,cencocal
KETCHUP DOYP. JB 1X900G,1340405,1669.00,,0,1,5,false,900,cencocal
MAY HELL SUPREME FCO 1X380G,1340146,2077.00,,0,1,5,false,380,cencocal
DTE AXE AER BS MARINE 1X150ML,1260529,1471.00,,0,3,5,false,150,cencocal
DTE AXE AER BS APOLLO 1X150ML,1260257,1250.00,,0,3,5,false,150,cencocal
LE SANCY AVENAVALMENDRAS 1X90G,4200621,503.00,,0,6,5,false,90,cencocal
L PISOS POETT LAVANDA 1X250CC,3001156,417.00,,0,4,5,false,250,cencocal
WYN ANTIGRASA DOYPACK 1X450ML,1560082,801.00,,0,2,5,false,450,cencocal
L PISOS POETT PRIMAVERA 1X250C,3005755,417.00,,0,4,5,false,250,cencocal
DGTE BIOFRES BOS/NATIV 1X400G,1207362,626.00,,0,6,5,false,400,cencocal
PROM BIO BOSQ/NATIVO 1X800GR,5004190,1057.00,,0,6,5,false,800,cencocal
MANTECA CRONINA PAN 1X1K,2403234,3109.00,,0,4,5,false,1000,cencocal
MARG SURENA POTE 1X450G,2402655,1653.00,,0,6,5,false,450,cencocal
WASIL POROTO BLANCO TET 1X380G,7711514,909.00,,0,2,5,false,380,cencocal
QUESO L/PARCEL VALDIV P3 1X3,1310315,20136.00,,0,1,5,false,3000,cencocal
T LADYSOFT NOCT U/DELG X7U,2090100,758.00,,0,10,5,false,7,cencocal
PAÑUELO ELITE PACK 18U,0600393,2214.00,,0,1,5,false,18,cencocal
SERV. ABOLENGO MINI X40,0601407,176.00,,0,10,5,false,40,cencocal
WASIL POROTO NEGRO TET 1X380G,7711509,933.00,,0,4,5,false,380,cencocal
MARG. CALO PAN 12X125GR,2402386,4284.00,,0,1,5,false,1500,cencocal
YOG OIKOS NAT. S/AZUCAR 1X150G,1300060,1029.00,,0,4,5,false,150,cencocal
DULCE MEMBRILLO WATTS 1X250GR,1460355,415.00,,0,4,5,false,250,cencocal
LECHE LONCO S/T ENTERA 12X1L,1420002,631.00,,0,4,5,false,12000,cencocal
PACK LYSOF 285CC LL6-PG 5 ORIG,1280347,10824.00,,0,1,5,false,1710,cencocal
DGTE ARIEL DOWNY X400G,1861003,1091.00,,0,6,5,false,400,cencocal
TANAX RATICIDA 24X50,2702452,1836.00,,0,1,5,false,1200,cencocal
PASTA COLGATE T.ACCION 1X6X50G,1215206,2472.00,,0,1,5,false,300,cencocal
SALSA DE SOYA LA PRIMER 1X250,0201506,546.00,,0,4,5,false,250,cencocal
MARUCHAN LUNCH CARNE 64G,1020413,840.00,,0,6,5,false,64,cencocal
ACEITE VEG. LOS SILOS 900ML,1110080,1344.00,,0,6,5,false,900,cencocal
CALDO GOURMET CARNE 6U,0201500,573.00,,0,3,5,false,48,cencocal
CALDO GOURMET COSTILLA 6U,0201510,503.00,,0,3,5,false,48,cencocal
CALDO GOURMET GALLINA 48G,1020115,503.00,,0,3,5,false,48,cencocal
SUAV FUZOL CLASSIC 1L,4311507,1003.00,,0,3,5,false,1000,cencocal
LANA ACERO CIEN MEDIANA X250,5201004,121.00,,0,10,5,false,250,cencocal
AMP. GLOW LED 7.5W,1810601,504.00,,0,10,5,false,75,cencocal
TANAX RATICIDA BLOQUE X100,2702514,2701.00,,0,2,5,false,100,cencocal
CEPILLO COLGATE X12+2 CEPILLO,1203959,3878.00,,0,1,5,false,14,cencocal
