name,barcode,cost,price,margin,stock,min_stock,is_weighted,weight,category
YOG ALERCES PACK 3 SABORES 120G,2802491,1192,,0,2,5,false,360,alimentos
YOG ALERCES PACK 4 SABORES 120G,2802490,1192,,0,2,5,false,480,alimentos
YOG PROTEIN 11 SQUEEZE FRUTILLA 150GR,2801868,3007,,0,24,5,false,150,alimentos
YOG ALERCES PLATANO 120G,2802488,1392,,0,8,5,false,120,alimentos
YOG ALERCES FRUTILLA 120G,2802487,1392,,0,8,5,false,120,alimentos
YOG ALERCES DAMASCO 120G,2802485,1392,,0,8,5,false,120,alimentos
YOG ALERCES PIÑA 120G,2802484,1392,,0,8,5,false,120,alimentos
YOG ALERCES FRAMBUESA 120G,2802483,1392,,0,8,5,false,120,alimentos
UHT LECHE SEMID. S/LACT 1LT MID,2801849,1041,,0,12,5,false,1000,alimentos
UHT COLUN CHOCOLATE ORIGINAL 1LT,2801347,1073,,0,12,5,false,1000,alimentos
UHT COLUN 200 CHOCOLATE ORIGINAL,2801346,1810,,0,12,5,false,200,alimentos
LP ENT INST RINDE 120 GR,2800941,740,,0,20,5,false,120,alimentos
Q.IWS LOS ALERCES CHEDDAR 160G,2800882,6756,,0,12,5,false,160,alimentos
Q.REGTO RALL 40,2403609,15475,,0,30,5,false,40,alimentos
MANJAR COLUN POT 200,2241129,4025,,0,6,5,false,200,alimentos
QUESILLO COLUN 320 G,2240424,4731,,0,6,5,false,320,alimentos
UHT CREMA COLUN 200,2225336,3890,,0,18,5,false,200,alimentos
UHT COLUN ENT 200,2225247,1650,,0,12,5,false,200,alimentos
UHT COLUN ENTERA,2225220,965,,0,12,5,false,1000,alimentos
MANT. ALERCES 250,2204207,6972,,0,8,5,false,250,alimentos
MANT. ALERCES 125,2204118,7672,,0,16,5,false,125,alimentos
MANT. COLUN 250,2203308,7828,,0,8,5,false,250,alimentos
MANT. COLUN 125/5K,2202107,8200,,0,16,5,false,125,alimentos
MANJAR COLUN BOL 500,2241366,3266,,0,6,5,false,500,alimentos
UHT CREMA COLUN 200,2225336,3890,,0,12,5,false,200,alimentos
UHT COLUN ENTERA,2225220,965,,0,12,5,false,1000,alimentos
MANT. ALERCES 125,2204118,1000,,0,8,5,false,125,alimentos
MANT. ALERCES 250,2203308,7808,,0,8,5,false,250,alimentos
MANT. COLUN 250,2203308,7828,,0,8,5,false,250,alimentos
MANT. COLUN 125/5K,2202107,8200,,0,16,5,false,125,alimentos
