name,barcode,cost,price,margin,stock,min_stock,is_weighted,weight,category
FILETE DE POLLO CONGELADO,1011142,,5490,0,1,5,false,1000,CONGELADOS
SALCHICHA SUREÑA REFRIGERADO VACIO 12X50G SB,1040304,,9500,0,1,5,false,600,CONGELADOS
SALCHICHA SUPER POLLO 250G,1040914,,9500,0,1,5,false,250,CONGELADOS
JAMON ARTESANAL 100G SB,1040938,,14900,0,1,5,false,100,CONGELADOS
HAMBURGUESA POLLO 56G KING (56 UNID),1109363,,250,0,56,5,false,56,CONGELADOS
HAMBURGUESA TRADICIONAL 50G KING 56 UNID,1109350,,250,0,56,5,false,50,CONGELADOS
CROQUETA DE POLLO SB 8KG,1109494,,3500,0,64,5,false,8000,CONGELADOS
NUGGETS POLLO KI 300G (18),1109593,,950,0,18,5,false,300,CONGELADOS
HAMB SB 100G,1109741,,500,0,56,5,false,100,CONGELADOS
PACK CROQUETE POLLO 18X270G CKI,1106094,,950,0,18,5,false,270,CONGELADOS
SOFRITO CONGELADO 14 UNID 150G FRUTOS DEL,1120206,,590,0,14,5,false,150,CONGELADOS

SALCHICHA TRADICIONAL 250G,1044961,,9500,0,1,5,false,250,CONGELADOS
CARNE MOLIDA DE VACUNO CONGELADA TVPA 1,1100365,,3200,0,14,5,false,1000,CONGELADOS
CHURRASCO DE VACUNO KING 40G (3 UNID),1109539,,24900,0,1,5,false,120,CONGELADOS
SOFRITO CONGELADO 14 UNID 150G FRUTOS DEL,1120206,,590,0,28,5,false,150,CONGELADOS
PAPAS PREFRITAS BASTON 9X9 CONGELADO CAJA,1120252,,4900,0,4,5,false,2500,CONGELADOS

CHULETA CENTRO FLOWPACK,1022476,,5900,0,21,5,false,1000,CONGELADOS
SALCHICHA SUREÑA REFRIGERADO VACIO 12X50G SB,1040304,,9500,0,3,5,false,600,CONGELADOS
NUGGETS POLLO KI 300G (18),1109593,,950,0,18,5,false,300,CONGELADOS
HAMB SB 100G,1109741,,500,0,56,5,false,100,CONGELADOS
PAPAS PREFRITAS BASTON 9X9 CONGELADO CAJA,1120252,,4900,0,4,5,false,2500,CONGELADOS

NUGGETS POLLO KI 300G (18),1109593,,950,0,18,5,false,300,CONGELADOS
HAMB TRADIC PACK 32X200G SB,1108003,,750,0,32,5,false,200,CONGELADOS
CHAMPIÑON LAMINADO 16X350G,1120574,,2100,0,16,5,false,350,CONGELADOS

SALCHICHA SUREÑA REFRIGERADO VACIO 12X50G SB,1040304,,9900,0,2,5,false,600,CONGELADOS
HAMBURGUESA TRADICIONAL 50G KING 56 UNID,1109350,,290,0,56,5,false,50,CONGELADOS
CARNE MOLIDA DE VACUNO CONGELADA TVPA 1,1100365,,890,0,14,5,false,1000,CONGELADOS

HAMB TRADIC PACK 32X100G SB,1108003,,750,0,64,5,false,100,CONGELADOS

CHULETA CENTRO FLOWPACK,1022476,,5900,0,21,5,false,1000,CONGELADOS
HAMBURGUESA TRADICIONAL 50G KING 56 UNID,1109350,,290,0,56,5,false,50,CONGELADOS
POP CORN CRISPY (20X45G),1109074,,3500,0,2,5,false,45,CONGELADOS

CHULETA CENTRO DE CERDO SABOR AHUMADA,1023694,,5500,0,13,5,false,1000,CONGELADOS
CHURRASCO DE VACUNO KING 40G (3 UNID),1109539,,24900,0,1,5,false,120,CONGELADOS
ALBONDIGA DE VACUNO SB 1KG,1107072,,850,0,30,5,false,1000,CONGELADOS
HAMB TRADIC PACK 32X100G SB,1108003,,750,0,32,5,false,100,CONGELADOS

PULPA PIERNA DE CERDO CONGELADA,1023256,,2100,0,10,5,false,1000,CONGELADOS
CHULETA CENTRO DE CERDO SABOR AHUMADA,1023694,,4900,0,13,5,false,1000,CONGELADOS
CARNE MOLIDA DE VACUNO CONGELADA TVPA 1,1100365,,800,0,14,5,false,1000,CONGELADOS
HAMB SB 100G,1109741,,500,0,56,5,false,100,CONGELADOS
SOFRITO CONGELADO 14 UNID 150G FRUTOS DEL,1120206,,590,0,14,5,false,150,CONGELADOS
