name,barcode,cost,price,margin,stock,min_stock,is_weighted,weight,category
LAYS TA 50G,300065833,1941,,0.3,3,5,false,50,snacks
LAYSMEDJAM45G,300065822,1941,,0.3,3,5,false,45,snacks
LAYS TA 100G,300065854,985,,0.3,1,5,false,100,snacks
DORITOS QUESO 54G,300064805,3235,,0.3,5,5,false,54,snacks
RAMITAS QUESO 90G,300060853,1302,,0.3,2,5,false,90,snacks
DORI QUESO 100GX19,300064335,985,,0.3,19,5,false,100,snacks
CHEETOS PALI 250GX12,300064336,1400,,0.3,12,5,false,250,snacks
DETODITO I 275GX11,300064405,1766,,0.3,11,5,false,275,snacks
LAYSTA 200GX12,300061105,1400,,0.3,12,5,false,200,snacks
DORITOS QUESO 54G,300065875,1941,,0.3,3,5,false,54,snacks
RAMITAS QUESO 90G,300060853,1302,,0.3,2,5,false,90,snacks
DETODITO I 64G,300064330,1941,,0.3,3,5,false,64,snacks
DORITOSQUESO 240GX14,300064408,1681,,0.3,14,5,false,240,snacks
LAYSORE45G,300065554,1294,,0.3,2,5,false,45,snacks
LAYS TA 100GX17,300065654,1970,,0.3,17,5,false,100,snacks
CHEETOS PALI 250GX12,300064336,1400,,0.3,12,5,false,250,snacks
DETODITO I 275GX11,300064405,1766,,0.3,11,5,false,275,snacks
LAYSTA 200GX12,300061105,2800,,0.3,12,5,false,200,snacks
DORITOSQUESO 240GX14,300064408,1681,,0.3,14,5,false,240,snacks
CHEETOS PALI 250GX12,300064336,2800,,0.3,12,5,false,250,snacks
MOMS LISA 200GX12,300063680,985,,0.3,12,5,false,200,snacks
DORITOS QUESO 54G,300065875,2588,,0.3,4,5,false,54,snacks
CHEETOS PALIT 64G,300065924,2588,,0.3,4,5,false,64,snacks
MOMS LISA 180G,30006163,1970,,0.3,2,5,false,180,snacks
TWISTOS JAMON 100X16,300056498,1970,,0.3,16,5,false,100,snacks
CHEETOS PALI 250GX12,300064336,1400,,0.3,12,5,false,250,snacks
CHEEZELS 200GX10,300055261,1400,,0.3,10,5,false,200,snacks
DETODITO I 275GX11,300064405,1766,,0.3,11,5,false,275,snacks
LAYS TA 200GX12,300061105,1400,,0.3,12,5,false,200,snacks
