name,barcode,cost,price,margin,stock,min_stock,is_weighted,weight,category
LIVEAN NAC NARANJA CN,1048619,1240,,0,1,5,false,80,alimentos
LIVEAN NAC PIÑA CN,1048620,1240,,0,1,5,false,70,alimentos
LIVEAN NAC MANGO CN,1048621,1240,,0,1,5,false,70,alimentos
LIVEAN NAC MANZANA CN,1048623,1240,,0,1,5,false,70,alimentos
LIVEAN NAC PERA AGUA CN,1048624,1240,,0,1,5,false,70,alimentos
LIVEAN NAC LIMONADA CN,1048626,1240,,0,1,5,false,70,alimentos
LIVEAN NAC MELON TUNA C,1048627,1240,,0,1,5,false,70,alimentos
LIVEAN NAC HUESILLO CN,1048628,1240,,0,1,5,false,70,alimentos
LIVEAN NAC TE LIMON,1064595,1240,,0,1,5,false,1000,alimentos
LASAÑA LUCCHETTI NAC,1066489,818,,0,4,5,false,200,alimentos
NECT ZUKO MANZANA,1071586,1239,,0,1,5,false,20,alimentos
ZUKO NAC PIÑA,1070025,1239,,0,1,5,false,15,alimentos
ZUKO NAC NARANJA PLATANO,1070026,1239,,0,1,5,false,15,alimentos
ZUKO NAC MANGO,1070028,1239,,0,1,5,false,15,alimentos
ZUKO NAC MELON TUNA,1070029,1239,,0,1,5,false,15,alimentos
ZUKO NAC LIMON DULCE,1070030,1239,,0,1,5,false,15,alimentos
ZUKO NAC FRUTILLA,1070032,1239,,0,1,5,false,15,alimentos
ZUKO NAC PIÑA,1070033,1239,,0,1,5,false,15,alimentos
ZUKO NAC DURAZNO,1077514,1239,,0,1,5,false,15,alimentos
ZUKO NAC TUTTI,1077515,1239,,0,1,5,false,15,alimentos
SOPROLE LECHE CHOC,0001007,430,,0,6,5,false,200,alimentos
SOPROLE CREMA ESPESA,0001050,361,,0,12,5,false,200,alimentos
SOPROLE MANTEQUILLA PAN,0001200,9947,,0,1,5,false,125,alimentos
SOPROLE YOGHURT BATIDO,0023001,835,,0,4,5,false,250,alimentos
SOPROLE POSTRE JALEA PIÑA,0002950,208,,0,4,5,false,110,alimentos
SOPROLE POSTRE JALEA GUINDA,0002951,208,,0,4,5,false,110,alimentos
SOPROLE POSTRE JALEA FUNNY APPLE,0002956,208,,0,4,5,false,110,alimentos
1+1 YOG PILLEVAR CHOCO KRISPIS,0003320,579,,0,8,5,false,140,alimentos
SOPROLE MARGARINA PAN,0006050,4146,,0,1,5,false,250,alimentos
SOPROLE LECHE ENTERA UHT,0010300,1098,,0,12,5,false,1000,alimentos
SOPROLE LECHE DESCREMADA UHT,0010340,1098,,0,12,5,false,1000,alimentos
SOPROLE YOGURT BATIDO MORA,0023020,752,,0,4,5,false,120,alimentos
SOPROLE YOGURT BATIDO PLATANO,0023020,752,,0,4,5,false,120,alimentos
SOPROLE YOGURT BATIDO VAINILLA,0023020,1503,,0,8,5,false,120,alimentos
SOPROLE YOG BATIDO FRUTILLA,0023020,1503,,0,8,5,false,120,alimentos
SOPROLE YOG BATIDO DAMASCO,0023020,224,,0,8,5,false,120,alimentos
SOPROLE POSTRE SEMOLA CARAMELO,0020200,563,,0,12,5,false,140,alimentos
SOPROLE PROTEIN SNACK CHOCOLATE,0020400,4128,,0,8,5,false,130,alimentos
SOPROLE BEBIDA VEGETAL AVENA,0020500,3831,,0,6,5,false,1000,alimentos
SOPROLE LECHE BLANCA ENTERA,0020300,1098,,0,6,5,false,200,alimentos
BATIFRUT YOG PIÑA,0023150,1843,,0,4,5,false,165,alimentos
