name,barcode,cost,price,margin,stock,min_stock,is_weighted,weight,category
PAN BLANCO 1P 580G BOLSA ID,506315,1683,,0,4,5,false,580,ideal
PAN INTEGRAL STUTTGART 650G FUC,22016,1942,,0,2,5,false,650,ideal
PAN MULTIGRANO 1P 350G BOLSA FUC,506564,1489,,0,1,5,false,350,ideal
PAN LINAZA CHIA 1P 350G BOLSA FUC,506559,1489,,0,1,5,false,350,ideal
PAN HAMBURGUESA SESAMO 8P 650G BOL,502927,1942,,0,2,5,false,650,ideal
PAN COMPLETO XL 6P 528G BOLSA ID,501866,1036,,0,1,5,false,528,ideal
PAN BLANCO NP 1P 380G BOLSA ID,506339,1683,,0,1,5,false,380,ideal
PIZZA CLASICA 2P 500G ID,23634,1293,,0,3,5,false,500,ideal
QUEQUE CHOC ED LTDA 1P 225G ADP,504196,1099,,0,4,5,false,225,ideal
QUEQUE LIMON ED LTDA 1P 225G ADP,504195,1099,,0,1,5,false,225,ideal
QUEQUE VAINILLA 1P 225G FLOW ADP,506363,1099,,0,3,5,false,225,ideal
TORTILLA FAJITAS 10P 320G BOLSA TR,504571,1099,,0,3,5,false,320,ideal
TORTILLA BURRERA 22CMS 8P 400G BOLSA TR,504566,1489,,0,2,5,false,400,ideal
RALLADO XL 250G ID,4388,906,,0,4,5,false,250,ideal
TAKIS FUEGO CH 1P 49G FLOW BAR,964742,970,,0,4,5,false,49,ideal
TAKIS XPLOSION CH 1P 49G FLOW BAR,964741,970,,0,4,5,false,49,ideal
TAKIS ORIGINAL CH 1P 49G FLOW BAR,964740,582,,0,3,5,false,49,ideal
TAKIS INTENSE NACHO CH 1P 49G FLOW BAR,964102,970,,0,1,5,false,49,ideal
PINGUINO 2P 80G MLA,5380,647,,0,5,5,false,80,ideal
PINGUINO TRIPLE CHOCO 2P 80G BOLSA MLA,503999,647,,0,5,5,false,80,ideal
LAGUITO 2P 70G LDS,25746,1099,,0,2,5,false,70,ideal
BROWNIE CHIP 1P 62G BOLSA NUR,502660,517,,0,12,5,false,62,ideal
RAYITA FRUTILLA 2P 60G MLA,48558,485,,0,6,5,false,60,ideal
RAYITA VAINI 2P 60G MLA,23355,485,,0,6,5,false,60,ideal
MANKKE NC 3P 90G BOLSA MLA,964669,970,,0,3,5,false,90,ideal
GALLETA ALFAJOR PINGUINO 2P 32G BOLSA MLA,965197,323,,0,5,5,false,32,ideal
RAPIDITAS TORTILLA 8P 200G ASS ID,44555,517,,0,4,5,false,200,ideal
ALFI SP. 3P 60G BOLSA MLA NUR,502601,517,,0,3,5,false,60,ideal
GANSITO TERMOFORMADO 1P 50G MLA,24956,518,,0,1,5,false,50,ideal
BUCKIN RANCH CH 1P 49G FLOW BAR,965380,582,,0,3,5,false,49,ideal
