name,barcode,cost,price,margin,stock,min_stock,is_weighted,weight,category
CHORITOS EN ACEITE SAN REMO,8410721071999,1250,,0,1,5,false,190,cencocal
SURTIDO DE MARISCOS EN ACEITE SAN REMO,8410721072248,1350,,0,1,5,false,190,cencocal
SURTIDO DE MARISCOS AL ACEITE SAN REMO 425G,8410721072255,2530,,0,1,5,false,425,cencocal
JUREL AL NATURAL SAN JOSE,7801235131117,2800,,0,1,5,false,425,cencocal
JUREL AL NATURAL SAN JOSE PROMO,7801235004602,2800,,0,1,5,false,425,cencocal
JUREL AL AGUA SAN REMO,7804461000035,1950,,0,1,5,false,425,cencocal
JUREL AL NATURAL DE REYES,7804608020581,1590,,0,1,5,false,425,cencocal
CABALLA AL NATURAL,6935897619339,1780,,0,1,5,false,425,cencocal
CHAMPIÑONES LAMINADOS SAN REMO,7804461000240,1800,,0,1,5,false,400,cencocal
MAYONESA HELLMANNS SACHET 186G,7803200804378,1460,,0,1,5,false,186,cencocal
MAYONESA HELLMANNS SACHET 93G,7805000301484,980,,0,1,5,false,93,cencocal
MAYONESA HELLMANNS DOY PACK 630G,7805000324674,2900,,0,1,5,false,630,cencocal
MAYONESA HELLMANNS SUPREME FRASCO 380G,7805000321581,3460,,0,1,5,false,380,cencocal
MAYONESA KRAFT FRASCO 208G,021000084920,3550,,0,1,5,false,208,cencocal
WASIL POROTOS NEGROS CAJITA,7801305004099,1700,,0,1,5,false,380,cencocal
WASIL GARBANZOS CAJITA,7801305004075,1700,,0,1,5,false,380,cencocal
WASIL LENTEJAS 6MM CAJITA,7801305004082,1700,,0,1,5,false,380,cencocal
MARUCHAN SABOR CARNE,041784001925,1590,,0,1,5,false,64,cencocal
MARUCHAN SABOR POLLO,041784001918,1590,,0,1,5,false,64,cencocal
PURE DE PAPAS MAGGI 6 PORCIONES,8445281263673,2520,,0,1,5,false,187,cencocal
PURE DE PAPAS MAGGI 3 PORCIONES,8445281263703,1630,,0,1,5,false,93,cencocal
SALSA DE SOYA LA PRIMERA,7802410820154,1100,,0,1,5,false,250,cencocal
ACEITE DE OLIVA EXTRA VIRGEN DOÑA INES,7804637680009,6590,,0,1,5,false,250,cencocal
ACEITE VEGETAL BELMONT,7802810012531,1350,,0,1,5,false,250,cencocal
ACEITE MARAVILLA NATURA,7800272001005,3280,,0,1,5,false,900,cencocal
ACEITE VEGETAL BONANZA,7808743600555,2360,,0,1,5,false,900,cencocal
CHANCACA DELICIOSA,7805040005748,1500,,0,1,5,false,200,cencocal
SAL FINA YODADA VENUS,7803600011246,600,,0,1,5,false,1000,cencocal
SAL FINA YODADA LOBOS,7803600031275,860,,0,1,5,false,1000,cencocal
JUGOSO AL HORNO FINAS HIERBAS MAGGI,7613035191792,1150,,0,1,5,false,24,cencocal
ESENCIA VAINILLA LA PRIMERA,7802410281009,980,,0,1,5,false,250,cencocal
SALSA BLANCA MAGGI,7613031571444,1050,,0,1,5,false,36,cencocal
SALSA CHAMPIÑONES MAGGI,7613031571529,1050,,0,1,5,false,45,cencocal
BASE CARNE A LA CACEROLA MAGGI,7613031259823,1050,,0,1,5,false,36,cencocal
BASE HAMBURGUESAS MAGGI,7802950006575,1050,,0,1,5,false,80,cencocal
SOPA SABOR CARNE FIDEOS MAGGI,8445281142368,850,,0,1,5,false,60,cencocal
SOPA SABOR COSTILLA FIDEOS MAGGI,7613030612247,850,,0,1,5,false,60,cencocal
SOPA SABOR CARACOLITOS MAGGI,7802950006636,,0,1,5,false,76,cencocal
SOPA SABOR POLLO SEMOLA MAGGI,7802950008814,,0,1,5,false,68,cencocal
SOPA SABOR POLLO ARROZ MAGGI,7802950006629,,0,1,5,false,70,cencocal
CREMA DE MARISCOS MAGGI,8445280846822,,0,1,5,false,45,cencocal
CREMA DE TOMATES MAGGI,8445280846853,,0,1,5,false,45,cencocal
CREMA DE CHOCLO MAGGI,7802950004571,,0,1,5,false,78,cencocal
CREMA DE ESPARRAGOS MAGGI,7802950006735,,0,1,5,false,68,cencocal
SOPA POLLO CON FIDEOS GOURMET,7802410002246,650,,0,1,5,false,70,cencocal
SOPA COSTILLA CON FIDEOS GOURMET,7802410002253,,0,1,5,false,62,cencocal
SOPA DE CARACOLITOS GOURMET,7802410002277,,0,1,5,false,74,cencocal
SOPA SABOR CARNE CORBATITOS GOURMET,7802410005254,,0,1,5,false,55,cencocal
SOPA POLLO CON ARROZ GOURMET,7802410005223,,0,1,5,false,70,cencocal
PALOS BROCHETA 15CM 100U,2230101,650,,0,1,5,false,100,cencocal
BROCHETA BAMBU 20CM 100U,770826973417,800,,0,1,5,false,100,cencocal
BROCHETA BAMBU 30CM 100U,7707320620156,1100,,0,1,5,false,100,cencocal
PALITO COCTEL,6977646350018,350,,0,1,5,false,1,cencocal
SOPA PARA UNO COSTILLA FIDEOS MAGGI,7613287552389,480,,0,1,5,false,16,cencocal
SOPA PARA UNO POLLO MERKEN MAGGI,7613032901912,,0,1,5,false,16,cencocal
SOPA PARA UNO CONSOME POLLO MAGGI,8445290855329,,0,1,5,false,12,cencocal
SOPA PARA UNO ESPARRAGOS MAGGI,7613033609992,,0,1,5,false,14,cencocal
SOPA PARA UNO POLLO FIDEOS MAGGI,7613287552273,,0,1,5,false,16,cencocal
ACEITUNAS HUASCO DON JUAN,7802351121204,2400,,0,1,5,false,340,cencocal
CHUCRUT DON JUAN,7802351441203,2100,,0,1,5,false,360,cencocal
PAN RALLADO IDEAL,7803403002212,1500,,0,1,5,false,250,cencocal
ZUKO POLVO MANZANA,7802800001859,250,,0,1,5,false,15,cencocal
ZUKO POLVO FRAMBUESA,7802800001880,250,,0,1,5,false,15,cencocal
ZUKO POLVO NARANJA PLATANO,7802800001866,,0,1,5,false,15,cencocal
ZUKO POLVO LIMON DULCE,7802800001903,,0,1,5,false,15,cencocal
ZUKO POLVO FRUTILLA,7802800001958,,0,1,5,false,15,cencocal
ZUKO POLVO MELON TUNA,7802800001897,,0,1,5,false,15,cencocal
ZUKO POLVO MANGO,7802800001873,,0,1,5,false,15,cencocal
ZUKO POLVO DURAZNO,7802800001941,,0,1,5,false,15,cencocal
ZUKO POLVO HUESILLO,7802800001810,,0,1,5,false,15,cencocal
ZUKO POLVO NARANJA,7802800001927,,0,1,5,false,15,cencocal
ZUKO POLVO PIÑA,7802800001934,,0,1,5,false,15,cencocal
LIVEAN POLVO PERA,7802800576692,,0,1,5,false,7,cencocal
LIVEAN POLVO MANGO,7802800576715,,0,1,5,false,7,cencocal
LIVEAN POLVO FRUTILLA,7802800576517,,0,1,5,false,7,cencocal
LIVEAN POLVO HUESILLO,7802800586608,,0,1,5,false,7,cencocal
LIVEAN POLVO NARANJA,7802800576418,,0,1,5,false,7,cencocal
LIVEAN POLVO PIÑA,7802800576456,,0,1,5,false,7,cencocal
LIVEAN POLVO LIMONADA,7802800586318,,0,1,5,false,7,cencocal
LIVEAN POLVO MELON,7802800576746,,0,1,5,false,7,cencocal
LIVEAN POLVO MANZANA,7802800576432,,0,1,5,false,7,cencocal
LIVEAN POLVO DURAZNO,7802800576449,,0,1,5,false,7,cencocal
LIVEAN POLVO BERRIES,7802800576739,,0,1,5,false,7,cencocal
SPRIM POLVO FRAMBUESA,7802575224736,,0,1,5,false,20,cencocal
SPRIM POLVO PAPAYA,7802575224828,,0,1,5,false,20,cencocal
SPRIM POLVO MANZANA,7802575223470,,0,1,5,false,20,cencocal
SPRIM POLVO NARANJA PLATANO,7802575224811,,0,1,5,false,20,cencocal
SPRIM POLVO DURAZNO,7802575224712,,0,1,5,false,20,cencocal
SPRIM POLVO MANGO,7802575224767,,0,1,5,false,20,cencocal
SPRIM POLVO NARANJA,7802575224804,250,,0,1,5,false,20,cencocal
SPRIM POLVO FRUTILLA,7802575224743,250,,0,1,5,false,20,cencocal
MERMELADA LOS LAGOS DAMASCO,7802810031112,1100,,0,1,5,false,225,cencocal
MERMELADA LOS LAGOS FRUTILLA,7802810031174,1100,,0,1,5,false,225,cencocal
MERMELADA WATTS DAMASCO,7802810031013,1550,,0,1,5,false,225,cencocal
MERMELADA WATTS DURAZNO,7802810031020,1550,,0,1,5,false,225,cencocal
MERMELADA WATTS FRUTILLA,7802810031075,1550,,0,1,5,false,225,cencocal
NESTUM 5 CEREALES NESTLE,7613035838110,2750,,0,1,5,false,250,cencocal
NESQUIK FRUTILLA NESTLE,7613036838191,1600,,0,1,5,false,180,cencocal
LECHE POLVO INSTANTANEA COLUN,7802920003023,1480,,0,1,5,false,120,cencocal
POLVOS DE HORNEAR GOURMET,7802410005183,560,,0,1,5,false,30,cencocal
PASTELERA VAN COOK,7802800563210,1100,,0,1,5,false,76,cencocal
CHANTILLY VAN COOK,7802800563012,1100,,0,1,5,false,60,cencocal
HARINA SELECTA CON POLVOS,7802615005103,1950,,0,1,5,false,1000,cencocal
HARINA INTEGRAL CUISINE & CO,7807810038603,1800,,0,1,5,false,1000,cencocal
RAPIDITAS IDEAL,7803403000331,1620,,0,1,5,false,200,cencocal
FAJITAS TIA ROSA,7803473002242,1850,,0,1,5,false,320,cencocal
BURRITOS TIA ROSA,7803403000185,2400,,0,1,5,false,400,cencocal
NESCAFE 3 EN 1 SOBRE,7613035311565,600,,0,1,5,false,24,cencocal
NESCAFE CAPPUCCINO,8445281584563,600,,0,1,5,false,14,cencocal
NESCAFE DOBLE CHOCA MOKA,8445281585355,600,,0,1,5,false,23,cencocal
NESCAFE VAINILLA LATTE,8445281584881,600,,0,1,5,false,18.5,cencocal
CALDO EN POLVO VERDURAS MAGGI,7613287221889,180,,0,1,5,false,7,cencocal
CALDO EN POLVO GALLINA MAGGI,7613287221841,180,,0,1,5,false,7,cencocal
