name,barcode,cost,price,margin,stock,min_stock,is_weighted,weight,category
TURRON DE MANI DOS EN UNO 45G,260654,500,,0,0,5,false,45,confites
SUPER 8 NESTLE,612339,410,,0,0,5,false,30,confites
SUSTANCIAS FRUNA 38G,002722,250,,0,0,5,false,38,confites
GALLETA MCKAY MARAVILLA 120G,496275,1050,,0,0,5,false,120,galletas
GALLETA MCKAY COCO 120G,518426,1050,,0,0,5,false,120,galletas
GALLETA MCKAY NICA 150G,590369,1050,,0,0,5,false,150,galletas
GALLETA FRAC BI CHOC FRUT COSTA 110G,512377,950,,0,0,5,false,110,galletas
GALLETA FRAC VAINILLA COSTA 110G,512421,950,,0,0,5,false,110,galletas
GALLETA FRAC CHOCOLATE COSTA 110G,512384,950,,0,0,5,false,110,galletas
GALLETA FRAC NARANJA COSTA 110G,512414,950,,0,0,5,false,110,galletas
CHOCOLATE TRENCITO LECHE 24G,276490,650,,0,0,5,false,24,confites
CHOCOLATE TRENCITO LECHE 14G,976245,400,,0,0,5,false,14,confites
CHOCOLATE SAHNE NUSS 30G,588776,930,,0,0,5,false,30,confites
CHOCOLATE SAHNE NUSS 14G,072358,400,,0,0,5,false,14,confites
OBLEA TUYO COSTA,514531,300,,0,0,5,false,30,confites
CHOCRAN BIZCOCHO COSTA 33G,303401,250,,0,0,5,false,33,confites
CHOKITA NESTLE 30G,755810,480,,0,0,5,false,30,confites
LOS TRES NEGRITOS AMBROSOLI 24G,009028,300,,0,0,5,false,24,confites
CHOCOLATE KITKAT NESTLE 41.5G,248768,950,,0,0,5,false,42,confites
CHOCOLATE CAPRI FRUTILLA 30G,279309,550,,0,0,5,false,30,confites
CHOCOLATE CAPRI ALMENDRA 30G,279743,550,,0,0,5,false,30,confites
GALLETA DE VINO MCKAY 155G,443191,1050,,0,0,5,false,155,galletas
DOUBI NOUGA 100G,100061,550,,0,0,5,false,100,confites
GALLETA DIN DON COSTA 115G,502514,850,,0,0,5,false,115,galletas
GALLETA KUKY CLASICA 120G,081162,1300,,0,0,5,false,120,galletas
TAKIS ORIGINAL 49G,004032,980,,0,4,5,false,49,snacks
TAKIS BUCKIN RANCH 49G,046869,980,,0,7,5,false,49,snacks
TAKIS XPLOSION 49G,004049,980,,0,3,5,false,49,snacks
NONITAS FRUNA 55G,011052,300,,0,4,5,false,55,confites
CUBANITO MARSHMALLOWS 50G,084292,300,,0,5,5,false,50,confites
MARSHMALLOWS RUN RUN FRUNA 50G,001572,300,,0,5,5,false,50,confites
TORTAZO FRUNA 60G,002401,500,,0,5,5,false,60,confites
TORTA SELVA NEGRA FRUNA 60G,002425,500,,0,2,5,false,60,confites
BROWNIE CHIPS NUTRA BIEN 62G,999544,850,,0,13,5,false,62,snacks
PINGUINOS MARINELA 2UN 80G,542182,850,,0,6,5,false,80,confites
MANKEKE MARINELA 3UN 90G,005960,850,,0,6,5,false,90,confites
RAYITA MARINELA 2UN 60G,003232,750,,0,5,5,false,60,confites
GANSITO MARINELA 50G,543189,750,,0,10,5,false,50,confites
NIFI MARINELA 3UN 66G,3002028,750,,0,7,5,false,66,confites
LAGUITO 2UN 40G,000737,750,,0,7,5,false,40,confites
TWISTOS JAMON IBERICO 100G,016387,1580,,0,0,5,false,100,snacks
ALFAJOR BON O BON 40G,613706,700,,0,0,5,false,40,confites
PRESTIGIO COCO 18G,975024,600,,0,0,5,false,18,confites
MUBON SLOW 40G,002788,750,,0,0,5,false,40,confites
CHUBI ARCOR 20G,426701,400,,0,0,5,false,20,confites
ROCKLETS ARCOR 30G,428277,650,,0,0,5,false,30,confites
TURRON MANI 25G,0131,400,,0,0,5,false,25,confites
GOLPE ARCOR,588508,400,,0,0,5,false,40,confites
LAYS TA 180G,021732,2500,,0,2,5,false,180,snacks
DORITO QUESO 240G,020179,3000,,0,2,5,false,240,snacks
DORI QUESO 100G,020148,1580,,0,2,5,false,100,snacks
CHETOS PALITOS 250G,020254,2200,,0,2,5,false,250,snacks
DETODITO 275G,020261,3000,,0,1,5,false,275,snacks
GALLETON ARANDANOS 40G,005824,500,,0,4,5,false,40,galletas
GALLETON CHIPS 40G,005831,500,,0,5,5,false,40,galletas
GALLETON ALMENDRA 40G,005848,500,,0,5,5,false,40,galletas
CHEEZELS QUESO 200G,013560,2200,,0,2,5,false,200,snacks
PAPAS MOMS CASERAS 180G,021749,2200,,0,1,5,false,180,snacks
CHEETOS PALITO TARRO TS,021220,1000,,0,5,5,false,50,snacks
RAMITAS EVERCRISP TS,018787,1000,,0,2,5,false,50,snacks
DETODITO TS,021060,1000,,0,3,5,false,50,snacks
PAPAS LAYS JAMON SERRANO TS,021022,1000,,0,3,5,false,50,snacks
PAPAS LAYS OREGANO TS,021039,1000,,0,4,5,false,50,snacks
PAPAS LAYS CORTE AMERICANO TS,021237,1000,,0,6,5,false,50,snacks
DORITOS QUESO TS,021190,1900,,0,4,5,false,50,snacks
TAKIS FUEGO 49G,004025,980,,0,7,5,false,49,snacks
TAKIS INTENSE NACHO 49G,003899,980,,0,6,5,false,49,snacks
TAKIS CHILI LIMON 49G,004377,980,,0,2,5,false,49,snacks
