name,barcode,cost,price,margin,stock,min_stock,is_weighted,weight,category
LUCCHETTI SPAGHETTI 5 400G PAQ,1046201,554,,0,5,5,false,400,luchetti
LIVEAN NAC 10(10X7) NARANJA CN DIS,1048619,1199,,0,1,5,false,70,luchetti
LIVEAN NAC 10(10X7) PIÑA CN DIS,1048620,1199,,0,1,5,false,70,luchetti
LIVEAN NAC 10(10X7) FRUTILLA CN DIS,1048622,1084,,0,1,5,false,70,luchetti
LIVEAN NAC 10(10X7) HUESILLO CN DIS,1048628,1199,,0,1,5,false,70,luchetti
LIVEAN NAC 10(10X7) MANZANA CN DIS,1048623,1156,,0,1,5,false,70,luchetti
LIVEAN NAC 10(10X7) MANGO CN DIS,1048625,1156,,0,1,5,false,70,luchetti
NECT ZUKO 4(6X200) NARANJA PAC,1061583,1311,,0,1,5,false,1200,luchetti
NECT ZUKO 4(6X200) MANZANA PAC,1061586,1160,,0,1,5,false,1200,luchetti
NECT ZUKO 4(6X200) PIÑA PAC,1061584,1160,,0,1,5,false,1200,luchetti
NECT ZUKO 4(6X200) DURAZNO PAC,1061585,1059,,0,1,5,false,1200,luchetti
NECT ZUKO 4(6X200) TUTTI FRUTTI PAC,1061616,1156,,0,1,5,false,1200,luchetti
KRYZPO NAC 8(6X37) ORIGINAL PAC,1061605,3429,,0,1,5,false,222,luchetti
KRYZPO NAC 8(6X37) QUESO PAC,1061606,3429,,0,1,5,false,222,luchetti
KRYZPO NAC 36X83GR ORIGINAL CAN,1061766,917,,0,4,5,false,83,luchetti
KRYZPO NAC 36X83GR QUESO CAN,1061765,917,,0,4,5,false,83,luchetti
ZUKO NAC PIÑA 16-10X15G UN,1070033,1155,,0,1,5,false,150,luchetti
ZUKO NAC MANZANA 16-10X15G UN,1070025,1156,,0,1,5,false,150,luchetti
ZUKO NAC NARANJA 16-10X15G UN,1070032,1155,,0,1,5,false,150,luchetti
ZUKO NAC DURAZNO 16-10X15G UN,1070026,1155,,0,1,5,false,150,luchetti
ZUKO NAC FRUTILLA 16-10X15G UN,1070035,1162,,0,1,5,false,150,luchetti
ZUKO NAC HUESILLO 16-10X15G UN,1070031,1084,,0,1,5,false,150,luchetti
ZUKO NAC MELON TUNA 16-10X15G UN,1070029,1155,,0,1,5,false,150,luchetti
ZUKO NAC FRAMBUESA 16-10X15G UN,1070028,1198,,0,1,5,false,150,luchetti
ZUKO NAC PLATANO 16-10X15G UN,1070034,1198,,0,1,5,false,150,luchetti
ZUKO NAC LIMON DULCE 16-10X15G UN,1070030,1155,,0,1,5,false,150,luchetti
LUCCHETTI DEDITOS 31 250G PAQ,1060430,528,,0,6,5,false,250,luchetti
LUCCHETTI MARIPOSA 81 250G PAQ,1060432,528,,0,6,5,false,250,luchetti
LUCCHETTI MOSTACHOLI 42 400G PAQ,1060435,571,,0,5,5,false,400,luchetti
SEMOLA 250G LUCCHETTI EST,1060462,544,,0,10,5,false,250,luchetti
SOP NTZZ 1X55 CARACOLITOS SO,1061498,378,,0,6,5,false,55,luchetti
LUCC PPONTA CARACOL AL QUESO 2 PAQ,1061507,1249,,0,3,5,false,110,luchetti
SAL LUCY DOY 200 ITALIANA PCKV,1061473,160,,0,24,5,false,200,luchetti
DURACELL AAA X12 UN,2037244,7362,,0,1,5,false,12,luchetti
DURACELL AA X12 UN,2037243,7135,,0,1,5,false,12,luchetti
DURACELL D X 2 PAC,2020565,3467,,0,6,5,false,2,luchetti
TE MILDRED CJ 20 BL EST,2020626,813,,0,6,5,false,20,luchetti
