name,barcode,cost,price,margin,stock,pack_units,min_stock,is_weighted,weight,category
ALTEZA CLASICA OBLEA FRUTILLA (24X140G),,2088,,0.30,2,24,5,false,140,nestle-mckay
ALTEZA OBLEA BOCADO (24X140G),,6264,,0.30,6,24,5,false,140,nestle-mckay
CAPRI TRITURA CHOCOLATE (20X90G),,3164,,0.30,4,20,5,false,90,nestle-mckay
NESTLE MANJAR BOLSA (48X200G),,791,,0.30,1,48,5,false,200,nestle-lacteos
CAPRI CALDO EN POLVO COSTILLA (28X10X7G),,695,,0.30,1,280,5,false,7,nestle-mckay
MAGGI CALDO EN POLVO DE GALLINA (28X10X7G),,695,,0.30,1,280,5,false,7,nestle-mckay
GALLETAS MCKAY MANTEQUILLA (24X140G),,2688,,0.30,4,24,5,false,140,nestle-mckay
MEZCLA MCKAY AGUA/GALLINA (20X180G),,695,,0.30,2,20,5,false,180,nestle-mckay
NESTLE MANJAR MANJARME (28X10X7G),,695,,0.30,1,280,5,false,7,nestle-lacteos
GALLETAS MCKAY SODA CLASICA (20X180G),,3184,,0.30,4,20,5,false,180,nestle-mckay
TRENCITO CHOCHOMPLUSIVBAR (12X20X14G),,4547,,0.30,1,240,5,false,14,nestle-mckay
CHOCOLATE NESQUIK OPTISTAR FRUTILLA BOLSA (18X180G),,902,,0.30,3,18,5,false,180,nestle-mckay
CHOCOLATE SAHNE NUSS BARRA (12X150G),,4348,,0.30,2,12,5,false,150,nestle-mckay
NIDO BUEN DIA LSP SOFTPACK (12X130G),,2760,,0.30,3,12,5,false,130,nestle-lacteos
CREMA MAGGI SABOR POLLO (20X72G),,992,,0.30,2,20,5,false,72,nestle-mckay
MAGGI POLLO CON SEMOLA SOBRE (20X68G),,1434,,0.30,3,20,5,false,68,nestle-mckay
NESCAFE DOBLE CHOCA MOKA (6X8X23G),,1912,,0.30,4,48,5,false,23,nestle-lacteos
TRENCITO FRUTILLA VAINILLA (30X16G),,6880,,0.30,6,30,5,false,16,nestle-mckay
TRENCITO CHOCOLATE BARRA (21X80G),,1744,,0.30,5,21,5,false,80,nestle-mckay
NESTLE MCKAY GALLETA VINO (28X155G),,992,,0.30,4,28,5,false,155,nestle-mckay
MOROCHA MINI GALLETA (24X50G),,1410,,0.30,5,24,5,false,50,nestle-mckay
NIDO BUEN DIA LSP SOFTPACK (12X130G),,2760,,0.30,3,12,5,false,130,nestle-lacteos
CHOCOLATE SAHNE NUSS BARRA (30X30G),,6015,,0.30,3,30,5,false,30,nestle-mckay
BEBIDA BASE DE CEBADA ECCO (24X100G),,2444,,0.30,4,24,5,false,100,nestle-lacteos
TRITON REGULAR FRUTILLA (30X116G),,2444,,0.30,4,30,5,false,116,nestle-mckay
TRITON REGULAR CHOCOLATE (30X116G),,2688,,0.30,4,30,5,false,116,nestle-mckay
BEBIDA BASE DE CEBADA ECCO (24X50G),,4788,,0.30,3,24,5,false,50,nestle-lacteos
NESTLE MCKAY MARAVILLA GALLETA PAQUETE (30X120G),,2700,,0.30,4,30,5,false,120,nestle-mckay
MAGGI PURE DE PAPAS (12X187G),,5812,,0.30,4,12,5,false,187,nestle-mckay
CHOCOLATE KIT KAT 4 FINGERS (24X41.5G),,1015,,0.30,2,24,5,false,41.5,nestle-mckay
SABORIZANTE NESQUIK OPTISTAR CHOCOLATE (18X180G),,1920,,0.30,2,18,5,false,180,nestle-mckay
GALLETA CHIP KUKY MINI (24X40G),,1734,,0.30,6,24,5,false,40,nestle-mckay
CHIQUITIN SIN DESPERDICIO FULLPISO (108X45G),,1416,,0.30,6,108,5,false,45,nestle-lacteos
NESTLE MI BEBIDA GRIEGO UVA (48X120G),,2236,,0.30,4,48,5,false,120,nestle-lacteos
CHANDELLE CREMA CHOCOLATE (20X120G),,2236,,0.30,4,20,5,false,120,nestle-lacteos
CHANDELLE CREMA MANJAR (20X120G),,2236,,0.30,4,20,5,false,120,nestle-lacteos
CHAMYTO LCF FRUT BOL M/P (6X80ML),,1822,,0.30,1,6,5,false,80,nestle-lacteos
LECHE CONDENSADA NESTLE AZUCARADA LATA (48X397G),,6164,,0.30,4,48,5,false,397,nestle-lacteos
CREMA DE LECHE NESTLE LATA (48X157G),,3812,,0.30,4,48,5,false,157,nestle-lacteos
NESCAFE CAPPUCCINO (6X8X14G),,2347,,0.30,1,48,5,false,14,nestle-lacteos
CHOCOLATE SAHNE NUSS BARRA (21X160G),,5728,,0.30,2,21,5,false,160,nestle-mckay
NESTLE MANJAR BOLSA (48X200G),,3164,,0.30,4,48,5,false,200,nestle-lacteos
TRENCITO CHOCOLATE BARRA (12X180G),,15096,,0.30,6,12,5,false,180,nestle-mckay
CAPRI FRUTILLA (20X90G),,3156,,0.30,3,20,5,false,90,nestle-mckay
SABORIZANTE NESQUIK OPTISTAR CHOCOLATE (18X180G),,1920,,0.30,2,18,5,false,180,nestle-mckay
CAPRI TRITURA (20X90G),,3156,,0.30,3,20,5,false,90,nestle-mckay
GALLETAS MCKAY MANTEQUILLA (24X140G),,2688,,0.30,4,24,5,false,140,nestle-mckay
NESTLE MCKAY AGUA/GALLINA MINI (20X180G),,2265,,0.30,3,20,5,false,180,nestle-mckay
