name,barcode,cost,price,margin,stock,min_stock,is_weighted,weight,category
SALCHICHA TRAD. PF (24x250gr),,856.80,1113.84,0.30,24,5,false,,cecinas y elaborados
PATE SABOR TERNERA PF (16x125g),,412.50,536.25,0.30,16,5,false,,cecinas y elaborados
SALAME T. ITALIANO PF (12x100gr),,1095.83,1424.58,0.30,12,5,false,,cecinas y elaborados
LONGANIZA PARRILLERA PF (9x250g),,1066.68,1386.68,0.30,9,5,false,,cecinas y elaborados
SALCH. SURENA POLLO PF (24x250g),,758.20,985.66,0.30,24,5,false,,cecinas y elaborados
CHURR. VAC. RDA (36x120g),,899.72,1169.64,0.30,36,5,false,,cecinas y elaborados
APANADO POLLO PF (66x100gr),,310.46,403.60,0.30,66,5,false,,cecinas y elaborados
POLLO A LA PLANCHA PF (70x80gr),,432.86,562.72,0.30,70,5,false,,cecinas y elaborados
MOLIDA FLOWPACK (24x250g),,1219.08,1584.80,0.30,24,5,false,,cecinas y elaborados
HAMB. DE VACUNO RDA (42x100gr),,511.67,665.17,0.30,42,5,false,,cecinas y elaborados
SALCHICHAS SURENAS PF (24x250g),,847.93,1102.31,0.30,24,5,false,,cecinas y elaborados
COMPOTA MANZ/DUR PF (18x90g),,293.89,382.06,0.30,18,5,false,,cecinas y elaborados
CHORIZO PARRILLERO PF (9x250g),,996.23,1295.10,0.30,9,5,false,,cecinas y elaborados
HAMBURGUESA T-REX PF (27x185g),,640.38,832.49,0.30,27,5,false,,cecinas y elaborados
MORT. JAMONADA PF (12x150g),,640.83,833.08,0.30,12,5,false,,cecinas y elaborados
MINI SNACK SALAMINI RDA (15x50g),,646.00,839.80,0.30,15,5,false,,cecinas y elaborados
PATE SABOR JAMON PF (16x125g),,450.00,585.00,0.30,16,5,false,,cecinas y elaborados
HAMBURGUESA PF (42x90g),,292.14,379.78,0.30,42,5,false,,cecinas y elaborados
HAMBURGUESA DE POLLO PF (42x90g),,348.09,452.52,0.30,42,5,false,,cecinas y elaborados
POROTO VERDE FRANCES (10x150g),,419.00,544.70,0.30,10,5,false,,cecinas y elaborados
