name,barcode,cost,price,margin,stock,min_stock,is_weighted,weight,category
SOPROLE LECHE CHOCOLATE UHT 6X200ML,000057-007,343.67,,0,6,5,false,1200,soprole
SOPROLE CREMA ESPESA UHT 5X6X200G,000105-001,921.50,,0,6,5,false,1200,soprole
SOPROLE POSTRE JALEA PIÑA 36X110G,000295-003,202.00,,0,8,5,false,110,soprole
SOPROLE POSTRE JALEA FRAMBUESA 36X110G,000295-008,202.00,,0,8,5,false,110,soprole
SOPROLE POSTRE JALEA TUTTI POP 36X110G,000295-064,202.00,,0,8,5,false,110,soprole
SOPROLE MARGARINA PAN 40X250G,000605-001,382.00,,0,2,5,false,250,soprole
SOPROLE LECHE ENTERA MID UHT 12X1L,001030-001,884.92,,0,12,5,false,1000,soprole
SOPROLE LECHE CHOCOLATE ALTA PROT. 200ML,002040-007,289.00,,0,8,5,false,200,soprole
SOPROLE PROTEIN+ SNACK CHOCOLATE 20X130G,002040-014,503.50,,0,4,5,false,130,soprole
SOPROLE PROTEIN+ SNACK CARAMELO 20X130G,002057-014,503.50,,0,4,5,false,130,soprole
SOPROLE POSTRE FLAN VAINILLA 36X110G,002200-001,248.75,,0,4,5,false,110,soprole
SOPROLE YOG FRUTILLA BATIDO 36X120G,002300-002,168.00,,0,8,5,false,120,soprole
SOPROLE YOG DAMASCO BATIDO 36X120G,002302-004,168.00,,0,8,5,false,120,soprole
SOPROLE YOG VAINILLA BATIDO 36X120G,002302-005,168.00,,0,8,5,false,120,soprole
SOPROLE YOG MORA BATIDO 36X120G,002302-011,168.00,,0,4,5,false,120,soprole
BATIFRUT YOG FRUTILLA 36X165G,002315-002,435.75,,0,4,5,false,165,soprole
BATIFRUT YOG PIÑA 36X165G,002315-003,435.75,,0,4,5,false,165,soprole
BATIFRUT YOG DAMASCO 36X165G,002315-004,435.75,,0,4,5,false,165,soprole
GOLD YOG TRADICIONAL 36X165G,002335-001,471.38,,0,8,5,false,165,soprole
SOPROLE SIN AZUCAR YOG FRUTILLA 36X120G,002342-002,226.00,,0,4,5,false,120,soprole
SOPROLE SIN AZUCAR YOG VAINILLA 36X120G,002342-005,226.00,,0,4,5,false,120,soprole
ZEROLACTO YOG FRUTILLA 36X120G,002352-002,419.00,,0,4,5,false,120,soprole
SOPROLE SIN AZUCAR TROZOS FRUTILLA 36X155G,002360-002,419.00,,0,4,5,false,155,soprole
SOPROLE SIN AZUCAR TROZOS PAPAYA 36X155G,002360-020,467.50,,0,4,5,false,155,soprole
SOPROLE PROTEIN+ SAB. CHIRIMOYA 36X155G,002361-030,467.50,,0,4,5,false,155,soprole
SOPROLE YOGHITO CAJITA FRUTILLA 6X115G,002395-002,1651.00,,0,1,5,false,690,soprole
SOPROLE YOGHITO CAJITA VAINILLA 6X115G,002395-005,1651.00,,0,1,5,false,690,soprole
SOPROLE QUESO GAUDA LAM FLEXI 9X1KG,002611-001,6355.00,,0,2,5,false,1000,soprole
SOPROLE QUESO CREMA SAB NATURAL 40X100G,004716-001,461.80,,0,10,5,false,100,soprole
SOPROLE QUESO PARMESANO 62X25X40G,004743-001,576.16,,0,25,5,false,40,soprole
