name,barcode,cost,price,margin,stock,min_stock,is_weighted,weight,category
CASSATA TRISABOR 6*1 LITRO TRENDY,0010,13288,,0,1,5,false,6000,trendy
CASSATA TIRAMISU 3LECHE CHOC 6*1 LITRO TRENDY,0016,13288,,0,1,5,false,6000,trendy
CASSATA CHOC SUIZO FRUTOS DEL BOSQUE 6*1 LITRO TRENDY,0018,13288,,0,1,5,false,6000,trendy
LENGUIX FRAMB 49*60CC TRENDY,0030,1800,,0,1,5,false,2940,trendy
CAMARON 100/150 IQF COCIDO CARNE 500 GRS GORDON FISH,0620,2886,,0,20,5,false,500,trendy
CASSATA PLATANO/VAINILLA 6*1 LITRO TRENDY,0019,13288,,0,1,5,false,6000,trendy
PIÑA COLADA 44*70CC TRENDY,0186,14331,,0,1,5,false,3080,trendy
TRENDY CHOC 42*85CC TRENDY,0168,21880,,0,1,5,false,3570,trendy
PALETA TURRON 42 X 63 GRS,0191,5671,,0,1,5,false,2646,trendy
CAJA SURTIDO MARISCO IQF CARNE 20X500 GRS GORDON FISH,0601,32310,,0,2,5,false,10000,trendy
MINI CONO MANJAR 32*72CC,0150,15790,,0,1,5,false,2304,trendy
PASTEL CICLON 30 X 60 CC TRENDY,0170,13288,,0,1,5,false,1800,trendy
CHAVO TRENDY 56*65 CC TRENDY,0200,12768,,0,1,5,false,3640,trendy
VASO FLAGG OREO 12*170CC,0225,10945,,0,1,5,false,2040,trendy
BONGELATA CHOC NUSS 6*1 LITRO TRENDY,0036,16810,,0,1,5,false,6000,trendy
PALETA HAWAI FRAMBUESA CHOCOLATE 25,0129,15470,,0,1,5,false,25,trendy
LENGUIX FRAMB. 49*60CC TRENDY,0163,15960,,0,1,5,false,2940,trendy
TROZO SANDIA 35*75 TRENDY,0180,11450,,0,1,5,false,2625,trendy
VASO FLAGG FRAMBUESA CREMA 12*170CC,0220,10200,,0,1,5,false,2040,trendy
CASSATA PIÑA 6*1 LITRO TRENDY,0015,13288,,0,1,5,false,6000,trendy
2.5 CHOC PISTACHO AVELLANA 4*2.5 LTS TRENDY,0041,16187,,0,1,5,false,10000,trendy
2.5 CHOC SUIZO FRUTOS DEL BOSQUE 4*2.5 LTS TRENDY,0042,16187,,0,1,5,false,10000,trendy
HAWAI BERRIES 5% 20*109 TRENDY,0126,13780,,0,1,5,false,2180,trendy
COLUMBIA CHOCOLATE FRUTOS DEL BOSQUE 44 X60 GRS,0190,14331,,0,1,5,false,2640,trendy
PALETA SONIC DUO 20 X 90 CC,0172,9118,,0,1,5,false,1800,trendy
DISCOVERY 56*60CC TRENDY,0201,10944,,0,1,5,false,3360,trendy
CONUTIU VAINILLA 21*75CC TRENDY,0145,9576,,0,1,5,false,1575,trendy
PALETA ACUNFUT TRENDY 42 X 63 GRS,0191,5671,,0,1,5,false,2646,trendy
PASTA DE CHOCO CONT. 1*1KG MINUTO,0320,3090,,0,10,5,false,1000,trendy
SURIMI BASTONES IQF CARNE 500 GRS GORDON FISH,0600,1990,,0,10,5,false,500,trendy
CAMARON 100/150 IQF COCIDO CARNE 500 GRS GORDON FISH,0620,2886,,0,10,5,false,500,trendy
BONGELATA CHOC NUSS 6*1 LITRO TRENDY,0036,16810,,0,0.5,5,false,6000,trendy
2.5 TRES LECHES TIRAMISU 4*2.5 LTS TRENDY,0040,16187,,0,0.5,5,false,10000,trendy
2.5 BROWNIE VAINILLA 4*2.5 LT TRENDY,0045,16187,,0,0.5,5,false,10000,trendy
PALETA CICLON 30 X 60 CC TRENDY,0170,9697,,0,1,5,false,1800,trendy
VASO FLAGG FRAMBUESA CREMA 12*170CC,0220,10200,,0,1,5,false,2040,trendy
